City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,Touros,-5.2,-35.46,86.0,55,40,13.87,BR,2019-11-09 18:29:33
70,Hobart,-42.88,147.33,48.99,66,40,10.29,AU,2019-11-09 18:20:06
71,Bonthe,7.53,-12.5,82.53,73,32,6.17,SL,2019-11-09 18:20:11
72,Codrington,-28.95,153.24,57.99,81,0,4.7,AU,2019-11-09 18:22:50
73,Biloela,-24.4,150.51,55.27,25,0,7.11,AU,2019-11-09 18:31:51
74,Ushuaia,-54.81,-68.31,44.6,52,40,9.17,AR,2019-11-09 18:21:55
75,Vao,59.1,26.19,41.36,97,100,5.97,EE,2019-11-09 18:23:42
76,Kolyvan,55.31,82.74,12.2,85,90,6.71,RU,2019-11-09 18:31:51
77,Bluff,-23.58,149.07,60.48,24,0,8.1,AU,2019-11-09 18:22:13
78,Zhanaozen,43.35,52.85,51.49,34,27,7.23,KZ,2019-11-09 18:31:52
79,Vardo,39.62,-77.74,42.01,47,1,12.75,US,2019-11-09 18:22:57
80,Aitape,-3.15,142.36,82.36,76,100,7.94,PG,2019-11-09 18:31:52
81,Esperance,-33.86,121.89,71.6,24,15,19.46,AU,2019-11-09 18:20:09
82,Ubauro,28.16,69.73,67.32,31,0,4.85,PK,2019-11-09 18:31:52
83,Kisanga,-11.72,27.4,73.65,43,83,0.94,CD,2019-11-09 18:31:53
84,Makokou,0.56,12.85,72.23,96,100,1.72,GA,2019-11-09 18:31:53
85,Port Lincoln,-34.72,135.86,49.57,87,0,3.74,AU,2019-11-09 18:22:49
86,Comodoro Rivadavia,-45.87,-67.48,55.4,50,20,9.17,AR,2019-11-09 18:23:25
87,Broken Hill,-31.97,141.45,53.6,58,0,12.75,AU,2019-11-09 18:22:57
88,Kodiak,39.95,-94.76,60.01,51,1,5.82,US,2019-11-09 18:22:46
89,Okhotsk,59.36,143.24,8.22,72,82,17.96,RU,2019-11-09 18:30:16
90,Ilulissat,69.22,-51.1,39.2,29,75,21.92,GL,2019-11-09 18:23:45
91,Kota Kinabalu,5.98,116.07,75.2,88,75,4.7,MY,2019-11-09 18:31:54
92,Formosa,-15.55,-47.33,86.32,32,32,4.05,BR,2019-11-09 18:31:54
93,Khandbari,27.38,87.21,45.16,77,100,6.13,NP,2019-11-09 18:31:54
94,Sehwan,26.43,67.86,66.2,68,0,6.93,PK,2019-11-09 18:31:54
95,Hilo,19.71,-155.08,78.01,60,1,4.7,US,2019-11-09 18:22:39
96,Tuktoyaktuk,69.44,-133.03,3.2,77,20,17.22,CA,2019-11-09 18:22:51
97,Avera,33.19,-82.53,53.6,37,1,6.93,US,2019-11-09 18:23:34
98,Hovd,63.83,10.7,26.6,68,75,6.93,NO,2019-11-09 18:31:54
99,Acajutla,13.59,-89.83,84.2,45,9,12.75,SV,2019-11-09 18:31:55
100,Chokurdakh,70.62,147.9,-10.74,99,100,4.36,RU,2019-11-09 18:23:00
101,Halifax,44.65,-63.58,37.99,68,40,9.17,CA,2019-11-09 18:27:35
102,Masunga,-20.62,27.45,82.4,45,75,9.17,BW,2019-11-09 18:31:55
103,Alofi,-19.06,-169.92,69.8,94,7,2.24,NU,2019-11-09 18:23:29
104,Tumbi,7.5,4.3,81.12,69,74,1.21,NG,2019-11-09 18:31:55
105,Vaini,15.34,74.49,67.87,92,14,1.99,IN,2019-11-09 18:22:13
