City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Rain,Snow,Date
317,Port Blair,11.67,92.75,81.36,70,0,2.01,IN,clear sky,0.0,0.0,2019-11-11 00:22:14
318,Najran,17.54,44.22,64.4,36,0,3.71,SA,clear sky,0.0,0.0,2019-11-11 00:22:14
319,Kalachinsk,55.05,74.58,15.6,57,33,0.72,RU,scattered clouds,0.0,0.0,2019-11-11 00:22:14
320,Maumere,-8.63,122.22,82.51,60,86,3.29,ID,overcast clouds,0.0,0.0,2019-11-11 00:21:03
321,Bowen,-20.01,148.25,86.0,51,0,3.36,AU,clear sky,0.0,0.0,2019-11-11 00:20:24
322,Selma,32.41,-87.02,54.0,53,1,4.7,US,clear sky,0.0,0.0,2019-11-11 00:22:15
323,Ancud,-41.87,-73.83,55.4,82,100,5.82,CL,overcast clouds,0.0,0.0,2019-11-11 00:16:24
324,Nabire,-3.36,135.5,85.73,56,96,0.54,ID,overcast clouds,0.0,0.0,2019-11-11 00:22:15
325,Casa Grande,-7.74,-79.19,64.4,82,40,9.17,PE,scattered clouds,0.0,0.0,2019-11-11 00:22:15
326,Kota Kinabalu,5.98,116.07,82.99,78,75,5.82,MY,broken clouds,0.0,0.0,2019-11-11 00:22:15
327,Xuzhou,34.27,117.18,53.91,33,0,2.89,CN,clear sky,0.0,0.0,2019-11-11 00:22:15
328,Tabou,4.42,-7.36,76.23,94,3,2.35,CI,clear sky,0.0,0.0,2019-11-11 00:20:06
329,Taitung,22.76,121.15,71.6,60,20,5.82,TW,few clouds,0.0,0.0,2019-11-11 00:22:15
330,Tuatapere,-46.13,167.69,53.01,58,100,11.01,NZ,light rain,0.44,0.0,2019-11-11 00:19:32
331,Merauke,-8.49,140.4,77.34,87,100,4.5,ID,overcast clouds,0.0,0.0,2019-11-11 00:22:16
332,Ailigandi,9.23,-78.02,74.21,97,94,1.03,PA,light rain,2.56,0.0,2019-11-11 00:22:16
333,Puerto Del Rosario,28.5,-13.86,68.0,68,75,25.28,ES,broken clouds,0.0,0.0,2019-11-11 00:22:16
334,Awjilah,29.14,21.3,67.78,71,100,5.84,LY,overcast clouds,0.0,0.0,2019-11-11 00:19:57
335,Wakkanai,45.41,141.67,42.8,81,40,9.17,JP,scattered clouds,0.0,0.0,2019-11-11 00:22:16
336,Acapulco,16.86,-99.88,86.0,79,40,6.93,MX,scattered clouds,0.0,0.0,2019-11-11 00:22:17
337,Cidreira,-30.17,-50.22,69.67,85,98,16.64,BR,light rain,1.69,0.0,2019-11-11 00:19:33
338,Camacha,33.08,-16.33,66.2,68,40,10.29,PT,scattered clouds,0.0,0.0,2019-11-11 00:20:41
339,Evensk,61.92,159.24,25.92,95,100,6.51,RU,snow,0.0,3.44,2019-11-11 00:19:35
340,Ketchikan,55.34,-131.65,46.4,87,90,6.93,US,overcast clouds,0.0,0.0,2019-11-11 00:19:34
341,Namibe,-15.19,12.15,77.59,83,53,4.34,AO,broken clouds,0.0,0.0,2019-11-11 00:20:43
342,Olinda,-37.84,145.39,78.01,28,28,23.04,AU,scattered clouds,0.0,0.0,2019-11-11 00:22:17
343,Casper,42.87,-106.31,21.99,79,90,19.46,US,overcast clouds,0.0,0.0,2019-11-11 00:22:18
344,Cabadiangan,10.45,123.98,82.4,74,75,2.24,PH,broken clouds,0.0,0.0,2019-11-11 00:22:18
345,Alice Springs,-23.7,133.88,84.2,7,56,1.12,AU,broken clouds,0.0,0.0,2019-11-11 00:18:37
346,Tomatlan,19.93,-105.25,77.0,93,0,4.07,MX,light rain,1.38,0.0,2019-11-11 00:22:18
347,Malaya Vishera,58.85,32.22,44.76,97,100,3.76,RU,overcast clouds,0.0,0.0,2019-11-11 00:22:18
348,Kloulklubed,7.04,134.26,84.2,79,75,9.17,PW,broken clouds,0.0,0.0,2019-11-11 00:20:18
349,Samarai,-10.62,150.67,79.32,70,94,7.76,PG,overcast clouds,0.0,0.0,2019-11-11 00:22:18
350,Caravelas,-17.73,-39.27,72.59,92,79,8.01,BR,broken clouds,0.0,0.0,2019-11-11 00:19:24
351,Santa Catalina,-33.79,-57.49,61.0,74,0,1.01,UY,clear sky,0.0,0.0,2019-11-11 00:22:18
352,Itarema,-2.92,-39.92,77.67,77,97,10.27,BR,overcast clouds,0.0,0.0,2019-11-11 00:20:21
353,Tazovskiy,67.47,78.7,-0.71,95,79,12.66,RU,broken clouds,0.0,0.0,2019-11-11 00:19:56
354,Yeppoon,-23.13,150.74,87.8,18,0,8.05,AU,clear sky,0.0,0.0,2019-11-11 00:22:19
355,Bingol,38.88,40.49,40.69,29,0,4.05,TR,clear sky,0.0,0.0,2019-11-11 00:22:19
356,Tshikapa,-6.42,20.79,69.6,98,100,2.82,CD,moderate rain,3.5,0.0,2019-11-11 00:22:19
357,Greenville,34.85,-82.4,57.2,58,1,4.7,US,clear sky,0.0,0.0,2019-11-11 00:18:30
358,Bilibino,68.06,166.44,17.74,54,84,4.83,RU,broken clouds,0.0,0.0,2019-11-11 00:22:20
359,Manacor,39.57,3.21,54.0,93,40,3.36,ES,scattered clouds,0.0,0.0,2019-11-11 00:22:20
360,Bud,62.91,6.91,26.6,73,5,9.17,NO,clear sky,0.0,0.0,2019-11-11 00:22:20
